sub_type,sub_type_cn,a_share_keywords,rank,code,name,market_cap_cny,market_cap_100m_cny,latest_price,change_pct,industry_boards,concept_boards,business_note,mapping_type
mapped_avgo,网络通信/交换路由设备,网络通信/交换路由设备;000938;000063;300308;紫光股份;中兴通讯;中际旭创,2,000063,中兴通讯,167662897789,1676.629,35.05,-1.74,通信设备,,通信设备与网络基础设施,直接/较接近映射
mapped_avgo,网络通信/交换路由设备,网络通信/交换路由设备;000938;000063;300308;紫光股份;中兴通讯;中际旭创,3,000938,紫光股份,74104669535,741.0467,25.91,1.13,IT设备,,企业网络设备/新华三,直接/较接近映射
mapped_axon,执法安全设备/视频安防,执法安全设备/视频安防;002415;002236;002414;海康威视;大华股份;高德红外,1,002415,海康威视,297858325375,2978.5833,32.5,-2.46,IT设备,,视频安防与AIoT龙头,直接/较接近映射
mapped_axon,执法安全设备/视频安防,执法安全设备/视频安防;002415;002236;002414;海康威视;大华股份;高德红外,2,002414,高德红外,54281055933,542.8106,12.71,-3.49,电器仪表,,红外热成像与安防装备,直接/较接近映射
mapped_axon,执法安全设备/视频安防,执法安全设备/视频安防;002415;002236;002414;海康威视;大华股份;高德红外,3,002236,大华股份,51948574356,519.4857,15.89,-0.56,IT设备,,视频监控与智能物联,直接/较接近映射
mapped_bkng,在线预订/旅游平台,在线预订/旅游平台;601888;600754;300144;中国中免;锦江酒店;宋城演艺,1,601888,中国中免,111640013682,1116.4001,53.73,0.77,旅游服务,,旅游零售/免税龙头,直接/较接近映射
mapped_bkng,在线预订/旅游平台,在线预订/旅游平台;601888;600754;300144;中国中免;锦江酒店;宋城演艺,2,600754,锦江酒店,19854477027,198.5448,18.62,1.86,酒店餐饮,,酒店运营与预订场景,直接/较接近映射
mapped_bkng,在线预订/旅游平台,在线预订/旅游平台;601888;600754;300144;中国中免;锦江酒店;宋城演艺,3,300144,宋城演艺,15354376889,153.5438,5.85,1.74,旅游景点,,旅游演艺与景区消费,直接/较接近映射
mapped_bkr,油服/能源设备,油服/能源设备;601808;600871;600583;中海油服;石化油服;海油工程,1,601808,中海油服,52010352800,520.1035,10.9,1.02,石油开采,,海上油服,直接/较接近映射
mapped_bkr,油服/能源设备,油服/能源设备;601808;600871;600583;中海油服;石化油服;海油工程,2,600871,石化油服,38672373499,386.7237,2.04,0.49,石油开采,,油气工程与油田服务,直接/较接近映射
mapped_bkr,油服/能源设备,油服/能源设备;601808;600871;600583;中海油服;石化油服;海油工程,3,600583,海油工程,22416268836,224.1627,5.07,0.6,石油开采,,海洋油气工程,直接/较接近映射
mapped_brk_b,保险/多元金融,保险/多元金融;601318;601628;601601;中国平安;中国人寿;中国太保,1,601628,中国人寿,1013007027200,10130.0703,35.84,2.28,保险,,寿险龙头,直接/较接近映射
mapped_brk_b,保险/多元金融,保险/多元金融;601318;601628;601601;中国平安;中国人寿;中国太保,2,601318,中国平安,879126018857,8791.2602,48.55,2.79,保险,,保险与综合金融,直接/较接近映射
mapped_brk_b,保险/多元金融,保险/多元金融;601318;601628;601601;中国平安;中国人寿;中国太保,3,601601,中国太保,283800072923,2838.0007,29.5,3.76,保险,,保险集团,直接/较接近映射
mapped_cbrs,AI芯片/GPU,AI芯片/GPU;688256;688041;300474;寒武纪-U;海光信息;景嘉微,1,688256,寒武纪,904729309501,9047.2931,1439.98,-1.24,半导体,,AI训练/推理芯片,直接/较接近映射
mapped_cbrs,AI芯片/GPU,AI芯片/GPU;688256;688041;300474;寒武纪-U;海光信息;景嘉微,2,688041,海光信息,809009115953,8090.0912,348.06,0.92,半导体,,服务器CPU/DCU,直接/较接近映射
mapped_cbrs,AI芯片/GPU,AI芯片/GPU;688256;688041;300474;寒武纪-U;海光信息;景嘉微,3,300474,景嘉微,27050770982,270.5077,51.76,-2.28,元器件,,GPU/图形芯片,直接/较接近映射
mapped_ccep,软饮料/瓶装饮料,软饮料/瓶装饮料;605499;600887;000848;东鹏饮料;伊利股份;承德露露,1,600887,伊利股份,156173154868,1561.7315,24.69,1.73,乳制品,,乳制品与饮料消费龙头,直接/较接近映射
mapped_ccep,软饮料/瓶装饮料,软饮料/瓶装饮料;605499;600887;000848;东鹏饮料;伊利股份;承德露露,2,605499,东鹏饮料,89564973827,895.6497,121.99,10,软饮料,,功能饮料龙头,直接/较接近映射
mapped_ccep,软饮料/瓶装饮料,软饮料/瓶装饮料;605499;600887;000848;东鹏饮料;伊利股份;承德露露,3,000848,承德露露,7599000551,75.99,7.45,1.92,软饮料,,植物蛋白饮料,直接/较接近映射
mapped_cdns,EDA/电子设计自动化,EDA/电子设计自动化;301269;688206;301095;华大九天;概伦电子;广立微,1,301269,华大九天,59229069853,592.2907,108.59,-4.54,半导体,,国产EDA工具龙头,直接/较接近映射
mapped_cdns,EDA/电子设计自动化,EDA/电子设计自动化;301269;688206;301095;华大九天;概伦电子;广立微,2,301095,广立微,19695642194,196.9564,98.34,-7.91,半导体,,EDA与晶圆级电性测试,直接/较接近映射
mapped_cdns,EDA/电子设计自动化,EDA/电子设计自动化;301269;688206;301095;华大九天;概伦电子;广立微,3,688206,概伦电子,17725100701,177.251,40.6,0.52,半导体,,EDA与器件建模,直接/较接近映射
mapped_ceg,清洁能源/核电,清洁能源/核电;601985;003816;600900;中国核电;中国广核;长江电力,1,600900,长江电力,656482281320,6564.8228,26.83,0.68,水力发电,,水电运营,直接/较接近映射
mapped_ceg,清洁能源/核电,清洁能源/核电;601985;003816;600900;中国核电;中国广核;长江电力,2,003816,中国广核,201995175360,2019.9518,4,1.52,新型电力,,核电运营,直接/较接近映射
mapped_ceg,清洁能源/核电,清洁能源/核电;601985;003816;600900;中国核电;中国广核;长江电力,3,601985,中国核电,186551778811,1865.5178,9.07,1.57,新型电力,,核电运营,直接/较接近映射
mapped_chtr,有线电视/宽带运营,有线电视/宽带运营;600050;600941;601728;中国联通;中国移动;中国电信,1,600941,中国移动,1907571712036,19075.7171,87.99,1.35,电信运营,,通信运营商,近似映射
mapped_chtr,有线电视/宽带运营,有线电视/宽带运营;600050;600941;601728;中国联通;中国移动;中国电信,2,601728,中国电信,488648120653,4886.4812,5.34,0.38,电信运营,,通信运营商,近似映射
mapped_chtr,有线电视/宽带运营,有线电视/宽带运营;600050;600941;601728;中国联通;中国移动;中国电信,3,600050,中国联通,126308278321,1263.0828,4.04,-0.25,电信运营,,通信运营商,近似映射
mapped_cmcsa,有线电视/宽带运营,有线电视/宽带运营;600050;600941;601728;中国联通;中国移动;中国电信,1,600941,中国移动,1907571712036,19075.7171,87.99,1.35,电信运营,,通信运营商,近似映射
mapped_cmcsa,有线电视/宽带运营,有线电视/宽带运营;600050;600941;601728;中国联通;中国移动;中国电信,2,601728,中国电信,488648120653,4886.4812,5.34,0.38,电信运营,,通信运营商,近似映射
mapped_cmcsa,有线电视/宽带运营,有线电视/宽带运营;600050;600941;601728;中国联通;中国移动;中国电信,3,600050,中国联通,126308278321,1263.0828,4.04,-0.25,电信运营,,通信运营商,近似映射
mapped_cost,会员制零售/仓储零售,会员制零售/仓储零售;601933;600415;600827;永辉超市;小商品城;百联股份,1,600415,小商品城,55054934629,550.5493,10.04,2.87,商品城,,商品交易市场与零售生态,近似映射
mapped_cost,会员制零售/仓储零售,会员制零售/仓储零售;601933;600415;600827;永辉超市;小商品城;百联股份,2,601933,永辉超市,26150358893,261.5036,2.93,-3.3,超市连锁,,商超零售，近似映射,近似映射
mapped_cost,会员制零售/仓储零售,会员制零售/仓储零售;601933;600415;600827;永辉超市;小商品城;百联股份,3,600827,百联股份,13755936182,137.5594,7.71,1.58,超市连锁,,综合零售,近似映射
mapped_cprt,事故车拍卖/二手车流通,事故车拍卖/二手车流通;600297;600335;600704;广汇汽车;国机汽车;物产中大,1,600704,物产中大,24563104478,245.631,4.75,,仓储物流,,大宗供应链/汽车流通相关,近似映射
mapped_cprt,事故车拍卖/二手车流通,事故车拍卖/二手车流通;600297;600335;600704;广汇汽车;国机汽车;物产中大,2,600335,国机汽车,7184416788,71.8442,4.83,0.63,汽车服务,,汽车贸易与服务,近似映射
mapped_cprt,事故车拍卖/二手车流通,事故车拍卖/二手车流通;600297;600335;600704;广汇汽车;国机汽车;物产中大,3,600297,广汇汽车,,,,,,,汽车经销与二手车流通，近似映射,近似映射
mapped_crwd,网络安全,网络安全;688561;300454;002439;奇安信-U;深信服;启明星辰,1,300454,深信服,38801474635,388.0147,89.91,0.68,软件服务,,安全与云计算基础设施,直接/较接近映射
mapped_crwd,网络安全,网络安全;688561;300454;002439;奇安信-U;深信服;启明星辰,2,688561,奇安信-U,15391621476,153.9162,22.56,1.12,软件服务,,网络安全平台型公司,直接/较接近映射
mapped_crwd,网络安全,网络安全;688561;300454;002439;奇安信-U;深信服;启明星辰,3,002439,启明星辰,14924450526,149.2445,12.32,-1.91,软件服务,,网络安全产品与服务,直接/较接近映射
mapped_csco,网络通信/交换路由设备,网络通信/交换路由设备;000938;000063;300308;紫光股份;中兴通讯;中际旭创,1,300308,中际旭创,1305950916957,13059.5092,1171.01,-6.61,通信设备,,光模块，AI网络基础设施,直接/较接近映射
mapped_csco,网络通信/交换路由设备,网络通信/交换路由设备;000938;000063;300308;紫光股份;中兴通讯;中际旭创,2,000063,中兴通讯,167662897789,1676.629,35.05,-1.74,通信设备,,通信设备与网络基础设施,直接/较接近映射
mapped_csco,网络通信/交换路由设备,网络通信/交换路由设备;000938;000063;300308;紫光股份;中兴通讯;中际旭创,3,000938,紫光股份,74104669535,741.0467,25.91,1.13,IT设备,,企业网络设备/新华三,直接/较接近映射
mapped_csx,铁路/货运物流,铁路/货运物流;601006;601816;002352;大秦铁路;京沪高铁;顺丰控股,1,601816,京沪高铁,225547381896,2255.4738,4.61,1.77,铁路,,高铁资产运营，近似交通基础设施,直接/较接近映射
mapped_csx,铁路/货运物流,铁路/货运物流;601006;601816;002352;大秦铁路;京沪高铁;顺丰控股,2,002352,顺丰控股,165330673649,1653.3067,31.4,1.88,仓储物流,,快递物流龙头,直接/较接近映射
mapped_csx,铁路/货运物流,铁路/货运物流;601006;601816;002352;大秦铁路;京沪高铁;顺丰控股,3,601006,大秦铁路,93355596057,933.556,4.7,1.51,铁路,,铁路货运,直接/较接近映射
mapped_ctas,制服/企业服务,制服/企业服务;600177;600398;002154;雅戈尔;海澜之家;报喜鸟,1,600177,雅戈尔,34906986360,349.0699,7.55,0.53,服饰,,服装与纺织，近似映射,直接/较接近映射
mapped_ctas,制服/企业服务,制服/企业服务;600177;600398;002154;雅戈尔;海澜之家;报喜鸟,2,600398,海澜之家,25934959598,259.3496,5.4,0.56,服饰,,男装与服装零售,直接/较接近映射
mapped_ctas,制服/企业服务,制服/企业服务;600177;600398;002154;雅戈尔;海澜之家;报喜鸟,3,002154,报 喜 鸟,5268194762,52.6819,3.61,0.28,服饰,,职业装/男装，近似映射,直接/较接近映射
mapped_ctsh,IT服务/外包,IT服务/外包;600570;002230;600845;恒生电子;科大讯飞;宝信软件,1,002230,科大讯飞,94665966534,946.6597,39.41,0.74,软件服务,,AI软件与解决方案,直接/较接近映射
mapped_ctsh,IT服务/外包,IT服务/外包;600570;002230;600845;恒生电子;科大讯飞;宝信软件,2,600845,宝信软件,46869627847,468.6963,16.4,0.24,软件服务,,工业软件与IT服务,直接/较接近映射
mapped_ctsh,IT服务/外包,IT服务/外包;600570;002230;600845;恒生电子;科大讯飞;宝信软件,3,600570,恒生电子,38838719290,388.3872,20.51,-2.15,软件服务,,金融IT服务,直接/较接近映射
mapped_dash,本地生活/外卖平台,本地生活/外卖平台;603777;002251;603613;来伊份;步步高;国联股份,1,603613,国联股份,13178636600,131.7864,18.29,-2.09,互联网,,B2B平台，近似映射,近似映射
mapped_dash,本地生活/外卖平台,本地生活/外卖平台;603777;002251;603613;来伊份;步步高;国联股份,2,002251,步步高,9195352936,91.9535,3.42,0.59,超市连锁,,区域零售，近似映射,近似映射
mapped_dash,本地生活/外卖平台,本地生活/外卖平台;603777;002251;603613;来伊份;步步高;国联股份,3,603777,来伊份,5240426681,52.4043,15.67,-1.14,食品,,线下零售/即时消费，近似映射,近似映射
mapped_ddog,可观测性/云运维软件,可观测性/云运维软件;688111;600845;300454;金山办公;宝信软件;深信服,1,688111,金山办公,98797740580,987.9774,212.92,6.44,软件服务,,SaaS软件龙头，近似映射,直接/较接近映射
mapped_ddog,可观测性/云运维软件,可观测性/云运维软件;688111;600845;300454;金山办公;宝信软件;深信服,2,600845,宝信软件,46869627847,468.6963,16.4,0.24,软件服务,,工业软件与云运维,直接/较接近映射
mapped_ddog,可观测性/云运维软件,可观测性/云运维软件;688111;600845;300454;金山办公;宝信软件;深信服,3,300454,深信服,38801474635,388.0147,89.91,0.68,软件服务,,云计算与安全平台,直接/较接近映射
mapped_dell,个人电脑/服务器硬件,个人电脑/服务器硬件;601138;000977;000938;工业富联;浪潮信息;紫光股份,1,601138,工业富联,1349596716235,13495.9672,68.01,-3.15,通信设备,,服务器与电子制造,直接/较接近映射
mapped_dell,个人电脑/服务器硬件,个人电脑/服务器硬件;601138;000977;000938;工业富联;浪潮信息;紫光股份,2,000977,浪潮信息,96023688470,960.2369,65.39,2.35,IT设备,,服务器与AI算力,直接/较接近映射
mapped_dell,个人电脑/服务器硬件,个人电脑/服务器硬件;601138;000977;000938;工业富联;浪潮信息;紫光股份,3,000938,紫光股份,74104669535,741.0467,25.91,1.13,IT设备,,IT基础设施,直接/较接近映射
mapped_dxcm,医疗器械/糖尿病监测,医疗器械/糖尿病监测;300760;688271;002223;迈瑞医疗;联影医疗;鱼跃医疗,1,300760,迈瑞医疗,166953179954,1669.5318,137.7,2.78,医疗保健,,医疗器械龙头,直接/较接近映射
mapped_dxcm,医疗器械/糖尿病监测,医疗器械/糖尿病监测;300760;688271;002223;迈瑞医疗;联影医疗;鱼跃医疗,2,688271,联影医疗,84055873196,840.5587,101.99,3.83,医疗保健,,影像设备,直接/较接近映射
mapped_dxcm,医疗器械/糖尿病监测,医疗器械/糖尿病监测;300760;688271;002223;迈瑞医疗;联影医疗;鱼跃医疗,3,002223,鱼跃医疗,26174672616,261.7467,26.11,2.07,医疗保健,,家用医疗器械/血糖血氧等,直接/较接近映射
mapped_ea,游戏软件,游戏软件;002555;002602;002558;三七互娱;世纪华通;巨人网络,1,002602,世纪华通,102526191099,1025.2619,13.91,1.76,互联网,,游戏与数字娱乐,直接/较接近映射
mapped_ea,游戏软件,游戏软件;002555;002602;002558;三七互娱;世纪华通;巨人网络,2,002558,巨人网络,51543240654,515.4324,27.12,-1.17,互联网,,游戏研发运营,直接/较接近映射
mapped_ea,游戏软件,游戏软件;002555;002602;002558;三七互娱;世纪华通;巨人网络,3,002555,三七互娱,41634313156,416.3431,18.82,2.23,互联网,,游戏研发发行,直接/较接近映射
mapped_exc,公用事业/电力运营,公用事业/电力运营;600900;601985;600025;长江电力;中国核电;华能水电,1,600900,长江电力,656482281320,6564.8228,26.83,0.68,水力发电,,水电运营，A股公用事业市值龙头,直接/较接近映射
mapped_exc,公用事业/电力运营,公用事业/电力运营;600900;601985;600025;长江电力;中国核电;华能水电,2,601985,中国核电,186551778811,1865.5178,9.07,1.57,新型电力,,核电运营,直接/较接近映射
mapped_exc,公用事业/电力运营,公用事业/电力运营;600900;601985;600025;长江电力;中国核电;华能水电,3,600025,XD华能水,166934604543,1669.346,8.96,1.7,水力发电,,水电运营,直接/较接近映射
mapped_fang,页岩油气/上游能源,页岩油气/上游能源;601857;600938;600028;中国石油;中国海油;中国石化,1,601857,中国石油,1638037751471,16380.3775,8.95,0.22,石油开采,,油气勘探开发与炼化,直接/较接近映射
mapped_fang,页岩油气/上游能源,页岩油气/上游能源;601857;600938;600028;中国石油;中国海油;中国石化,2,600938,中国海油,1296141845144,12961.4185,27.27,-0.37,石油开采,,海上油气勘探开发,直接/较接近映射
mapped_fang,页岩油气/上游能源,页岩油气/上游能源;601857;600938;600028;中国石油;中国海油;中国石化,3,600028,中国石化,553838855137,5538.3886,4.58,1.33,石油加工,,炼化与成品油销售,直接/较接近映射
mapped_fast,紧固件/工业分销,紧固件/工业分销;600153;600704;002027;建发股份;物产中大;分众传媒,1,002027,分众传媒,69755824677,697.5582,4.83,1.47,广告包装,,非同构，临时占位需复核,直接/较接近映射
mapped_fast,紧固件/工业分销,紧固件/工业分销;600153;600704;002027;建发股份;物产中大;分众传媒,2,600704,物产中大,24563104478,245.631,4.75,,仓储物流,,供应链集成服务,直接/较接近映射
mapped_fast,紧固件/工业分销,紧固件/工业分销;600153;600704;002027;建发股份;物产中大;分众传媒,3,600153,建发股份,23399276107,233.9928,8.07,-0.12,仓储物流,,供应链运营，近似映射,直接/较接近映射
mapped_fer,基础设施/交通工程,基础设施/交通工程;601186;601668;601390;中国铁建;中国建筑;中国中铁,1,601668,中国建筑,181809717954,1818.0972,4.4,,建筑工程,,基建房建龙头,直接/较接近映射
mapped_fer,基础设施/交通工程,基础设施/交通工程;601186;601668;601390;中国铁建;中国建筑;中国中铁,2,601390,中国中铁,104258068898,1042.5807,4.25,0.71,建筑工程,,基建工程,直接/较接近映射
