ticker,earnings_date,earnings_time,earnings_estimate,earnings_currency,fiscal_date_ending,company_name,source,updated_at
KDP,2026-07-23,,0.55,USD,2026-06-30,KEURIG DR PEPPER INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
KHC,2026-07-29,,0.53,USD,2026-06-30,THE KRAFT HEINZ COMPANY,Alpha Vantage,2026-06-24T13:55:11
KLAC,2026-07-30,,1.0,USD,2026-06-30,KLA CORPORATION,Alpha Vantage,2026-06-23T16:33:24
LIN,2026-08-07,,4.48,USD,2026-06-30,LINDE PUBLIC LIMITED COMPANY,Alpha Vantage,2026-06-24T13:55:11
LITE,2026-08-11,,2.59,USD,2026-06-30,LUMENTUM HOLDINGS INC,Alpha Vantage,2026-06-24T13:55:11
LLY,2026-08-06,,9.01,USD,2026-06-30,LILLY(ELI) & COMPANY,Alpha Vantage,2026-06-26T10:24:18
LRCX,2026-07-29,,1.68,USD,2026-06-30,LAM RESEARCH CORPORATION,Alpha Vantage,2026-06-23T16:33:24
MAR,2026-08-04,,3.03,USD,2026-06-30,MARRIOTT INTERNATIONAL INC - CLASS A,Alpha Vantage,2026-06-24T13:55:11
MCHP,2026-08-06,,0.55,USD,2026-06-30,MICROCHIP TECHNOLOGY INC,Alpha Vantage,2026-06-23T16:33:24
MDLZ,2026-08-04,,0.69,USD,2026-06-30,MONDELEZ INTERNATIONAL INC - CLASS A,Alpha Vantage,2026-06-24T13:55:11
MELI,2026-08-03,,8.69,USD,2026-06-30,MERCADOLIBRE INC,Alpha Vantage,2026-06-24T13:55:11
META,2026-07-29,,7.11,USD,2026-06-30,META PLATFORMS INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
MNST,2026-08-06,,0.58,USD,2026-06-30,MONSTER BEVERAGE CORP,Alpha Vantage,2026-06-23T16:33:24
MPWR,2026-07-30,,4.83,USD,2026-06-30,MONOLITHIC POWER SYSTEMS INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
MRK,2026-08-04,,2.1,USD,2026-06-30,MERCK & CO INC,Alpha Vantage,2026-06-27T17:48:01
MRVL,2026-08-27,,0.93,USD,2026-07-31,MARVELL TECHNOLOGY INC,Alpha Vantage,2026-06-24T13:55:11
MSFT,2026-07-29,,4.21,USD,2026-06-30,MICROSOFT CORPORATION,Alpha Vantage,2026-06-24T13:55:11
MSTR,2026-07-30,,52.04,USD,2026-06-30,STRATEGY INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
MU,2026-06-24,,19.54,USD,2026-05-31,MICRON TECHNOLOGY INCORPORATED,Alpha Vantage,2026-06-23T16:33:24
NBIS,2026-08-06,,-0.64,RUB,2026-06-30,NEBIUS GROUP N.V. - CLASS A,Alpha Vantage,2026-06-23T16:33:24
NFLX,2026-07-16,,0.79,USD,2026-06-30,NETFLIX INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
NVDA,2026-08-26,,2.09,USD,2026-07-31,NVIDIA CORP,Alpha Vantage,2026-06-24T13:55:11
NXPI,2026-07-28,,3.2,USD,2026-06-30,NXP SEMICONDUCTORS NAAMLOZE VENNOOTSCHAP,Alpha Vantage,2026-06-24T13:55:11
ODFL,2026-07-29,,1.47,USD,2026-06-30,OLD DOMINION FREIGHT LINE INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
ORLY,2026-07-22,,0.85,USD,2026-06-30,O'REILLY AUTOMOTIVE INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
PANW,,,,,,,Alpha Vantage,2026-06-24T13:55:11
PAYX,2026-06-24,,1.31,USD,2026-05-31,PAYCHEX INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
PCAR,2026-07-28,,1.32,USD,2026-06-30,PACCAR INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
PDD,,,,,,,Alpha Vantage,2026-06-24T13:55:11
PEP,2026-07-09,,2.19,USD,2026-06-30,PEPSICO INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
PLTR,2026-08-03,,0.27,USD,2026-06-30,PALANTIR TECHNOLOGIES INC - CLASS A,Alpha Vantage,2026-06-24T13:55:11
PYPL,2026-08-04,,1.28,USD,2026-06-30,PAYPAL HOLDINGS INC,Alpha Vantage,2026-06-24T13:55:11
QCOM,2026-07-29,,1.52,USD,2026-06-30,QUALCOMM INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
QQQ,,,,,,,Alpha Vantage,2026-06-24T13:55:11
REGN,2026-08-07,,8.47,USD,2026-06-30,REGENERON PHARMACEUTICALS INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
RKLB,2026-08-06,,-0.08,USD,2026-06-30,ROCKET LAB USA INC,Alpha Vantage,2026-06-24T13:55:11
ROP,2026-07-20,,5.29,USD,2026-06-30,ROPER TECHNOLOGIES INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
ROST,2026-08-20,,1.54,USD,2026-07-31,ROSS STORES INC,Alpha Vantage,2026-06-24T13:55:11
SBUX,2026-08-04,,0.65,USD,2026-06-30,STARBUCKS CORP,Alpha Vantage,2026-06-24T13:55:11
SHOP,2026-08-05,,0.28,USD,2026-06-30,SHOPIFY INC - CLASS A,Alpha Vantage,2026-06-24T13:55:11
SNDK,2026-08-13,,31.81,USD,2026-06-30,SANDISK CORP,Alpha Vantage,2026-06-23T16:33:24
SNPS,,,,,,,Alpha Vantage,2026-06-24T13:55:11
STX,2026-08-04,,4.89,USD,2026-06-30,SEAGATE TECHNOLOGY HOLDINGS PLC,Alpha Vantage,2026-06-23T16:33:24
TER,2026-08-04,,2.04,USD,2026-06-30,TERADYNE INC,Alpha Vantage,2026-06-23T16:33:24
TMUS,2026-07-22,,2.57,USD,2026-06-30,T-MOBILE US INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
TRI,2026-08-05,,0.96,USD,2026-06-30,THOMSON-REUTERS CORP,Alpha Vantage,2026-06-24T13:55:11
TSLA,2026-07-22,,0.27,USD,2026-06-30,TESLA INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
TTWO,2026-08-06,,0.07,USD,2026-06-30,TAKE-TWO INTERACTIVE SOFTWARE INC,Alpha Vantage,2026-06-23T16:33:24
TXN,2026-07-28,,1.9,USD,2026-06-30,TEXAS INSTRUMENTS INCORPORATED,Alpha Vantage,2026-06-23T16:33:24
V,2026-08-04,,3.21,USD,2026-06-30,VISA INC - CLASS A,Alpha Vantage,2026-06-26T10:24:18
VRTX,2026-08-03,,4.25,USD,2026-06-30,VERTEX PHARMACEUTICALS INC,Alpha Vantage,2026-06-23T16:33:24
WBD,2026-08-06,,-0.12,USD,2026-06-30,WARNER BROS. DISCOVERY INC - CLASS A,Alpha Vantage,2026-06-24T13:55:11
WDAY,2026-08-20,,2.61,USD,2026-07-31,WORKDAY INC - CLASS A,Alpha Vantage,2026-06-24T13:55:11
WDC,2026-07-29,,3.22,USD,2026-06-30,WESTERN DIGITAL CORPORATION,Alpha Vantage,2026-06-23T16:33:24
WMT,2026-08-20,,0.74,USD,2026-07-31,WALMART INC,Alpha Vantage,2026-06-24T13:55:11
XEL,2026-07-30,,0.77,USD,2026-06-30,XCEL ENERGY INCORPORATED,Alpha Vantage,2026-06-24T13:55:11
XOM,2026-08-07,,3.96,USD,2026-06-30,EXXON MOBIL CORP,Alpha Vantage,2026-06-26T10:24:18
